id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
682,Cielecina w potrawce,103,77.6,13.5,12.9,0.6,4,4,60,262,15,137,16,1.2,2.12,0.18,0.08
683,Klopsiki cielece mielone,250,53.6,16.2,14.7,1.5,14.6,14.3,145,286,57,185,23,1.5,2.41,0.2,0.14
684,Kotlet cielecy panierowany,364,32.6,27.1,24.9,2.1,21.3,17.4,206,526,23,288,27,4.1,2.93,0.35,0.24
685,Pieczen cieleca duszona,192,65.3,20.1,19.9,0.2,11.8,1.7,89,406,13,201,16,2.9,2.08,0.26,0.04
686,Kotlet mielony z kury,382,36.8,19.9,18.3,1.6,27.8,14.3,157,342,42,207,25,2.1,1.68,0.09,0.15
687,Kura w galarecie,192,61.7,27.3,27.1,0.2,8.9,1.2,65,238,14,107,17,1.1,0.92,0.05,0.06
688,Kurczak gotowany w jarzynach,99,80.8,7.6,6.7,0.9,6.4,4.6,45,235,25,88,16,0.8,0.71,0.06,0.12
689,Kurczeta pieczone,179,70,16.4,16.3,0.1,12.7,0.1,61,276,12,165,18,1.1,1.2,0.05,0.04
690,Potrawka z kurczaka,148,72.3,13.2,12.5,0.7,9,4.7,56,278,16,140,18,1,1.03,0.06,0.1
691,Kotlety z kurczaka smazone saute,241,59.1,20.3,19.9,0.4,16.5,3.3,51,361,6,225,31,0.4,0.48,0.01,0.02
692,Kotlety z kurczaka smazone panierowane,247,56.1,19.7,18.8,0.9,15.7,7.6,107,349,12,232,32,0.7,0.72,0.03,0.11
693,Bitki wieprzowe,195,70.3,10.4,10.1,0.3,16.1,2.6,36,177,4,102,12,0.7,1.99,0.03,0.02
694,Bitki wieprzowe w jarzynach,199,68.3,10.7,10.1,0.6,16,4.3,51,239,12,115,16,0.9,2.1,0.05,0.07
695,Galaretka z nozek wieprzowych,202,66.8,16.9,16.7,0.2,14.9,0.8,121,121,21,82,10,1.6,1.98,0.26,0.06
696,Kotlet schabowy panierowany,351,40,19,17.1,2,24.1,15.9,111,308,20,202,26,1.3,1.87,0.09,0.19
697,Wieprzowina pieczona,278,59.3,15.4,15.4,0,24.4,0,55,264,5,153,18,1.1,3.01,0.04,0.02
698,Pieczen wieprzowa duszona,225,66.9,11.4,11.2,0.2,19.8,1.2,37,203,6,113,14,0.8,2.23,0.04,0.03
699,Rolada wieprzowa,412,35,21.1,19.9,1.2,32.5,10,133,356,12,214,26,1.6,3.97,0.07,0.08
700,Schab pieczony I,317,45.2,32.2,32.2,0,21.1,0,73,526,24,319,37,1.5,2.96,0.09,0.06
701,Schab pieczony II,291,48.7,30.4,30.2,0.2,18.7,0.7,61,507,24,301,35,1.5,2.8,0.1,0.08
702,Stek wieprzowy,472,33,21.7,21.5,0.2,42.7,1.5,84,382,25,223,23,1.8,4.16,0.11,0.07
703,Watrobka wieprzowa saute,239,57.7,20.5,20.1,0.4,15.5,4.9,77,305,14,334,22,17.1,4.16,0.59,0.24
704,Wieprzowina gotowana,364,42.8,22.6,22,0.6,30,3.1,95,491,21,237,33,1.8,4.49,0.09,0.13
705,zeberka duszone wieprzowe,210,70.3,7.9,7.6,0.3,19.2,2.2,32,138,16,81,9,0.7,1.46,0.04,0.04
706,Befsztyk bity wiejski,258,58.3,19.4,19.1,0.3,19.6,1.6,40,372,19,208,25,3.3,3.21,0.1,0.04
707,Bitki wolowe,103,79.1,13.6,13.3,0.3,4.3,2.4,53,242,3,132,16,1.5,2.41,0.05,0.03
708,Bitki wolowe w jarzynach,116,73.8,14.3,13.3,1,4.4,6.6,87,389,21,154,25,1.8,2.61,0.1,0.17
709,Boeuf Strogonow,219,61.5,19.5,19,0.5,14.3,3.7,60,341,21,178,23,2.2,2.51,0.07,0.03
710,Bryzol wolowy z poledwicy,252,56.2,24.6,24.5,0.1,16.6,1.4,63,467,6,259,32,3.8,3.57,0.13,0.05
711,Gulasz wolowy,148,73.5,14,13.6,0.4,9.2,2.6,53,267,6,137,18,1.6,2.5,0.07,0.06
712,Poledwica wolowa pieczona,168,69.4,19.7,19.7,0,9.9,0,61,376,5,208,26,3,2.88,0.1,0.04
713,Pieczen wolowa duszona,156,71.9,15.8,15.5,0.3,9.5,2,58,286,4,154,19,1.8,2.81,0.07,0.04
714,Sztuka miesa I,247,49.1,33.9,33.2,0.7,11.4,3.8,127,675,32,316,43,4,4.5,0.14,0.14
715,Sztuka miesa II,223,54.2,30.6,30,0.6,10.3,3.2,107,592,31,283,38,3.6,4.04,0.11,0.12
716,Zrazy wolowe zawijane ze slonina,145,74.7,12.1,11.6,0.5,9.4,3.2,45,222,4,118,15,1.4,2.13,0.05,0.05
717,Klopsiki mielone z miesa mieszanego,272,52.2,13.5,11.7,1.8,17.5,15.9,113,234,10,137,18,1.3,2.36,0.07,0.1
718,Kotlet mielony z miesa mieszanego,284,53.3,13,11.7,1.3,21.1,11.8,108,232,10,138,19,1.3,2.37,0.07,0.13
719,Pasztet z miesa mieszanego,361,46.3,15,14.2,0.8,31.1,6.6,94,240,14,178,17,4.2,2.57,0.2,0.1
720,Pieczen rzymska,208,60.6,14.4,12.9,1.5,11.4,12.7,136,250,9,150,20,1.5,2.56,0.07,0.13
721,Pulpety z miesa mieszanego,223,55.5,18.7,16.9,1.8,11.1,13.4,155,396,20,199,28,2.1,3.37,0.1,0.17
722,Medaliony z indyka,247,58.8,18.6,18.2,0.4,17.9,3.4,45,442,3,230,34,0.5,0.83,0.04,0.03
723,Bigos popularny,119,80,5.1,4.2,0.9,9.9,3.9,170,193,28,55,10,0.6,0.87,0.04,0.1
724,Fasolka po bretonsku,141,68.4,8,3,5,6.6,15.9,152,332,41,128,42,1.9,1.29,0.13,0.47
725,Golabki z miesem i ryzem w sosie pomidorowym,108,79,3.6,2.1,1.5,6.7,10,20,200,38,51,11,0.4,0.72,0.04,0.2
726,Papryka nadziewana miesem i ryzem,160,70.6,4.4,2.7,1.7,10.6,13.7,16,239,16,64,12,0.7,0.9,0.08,0.19
727,Risotto z miesem i warzywami,185,64.5,6.6,5,1.6,10,18.3,33,169,18,89,12,0.6,1.38,0.07,0.27
728,Mizeria ze smietana,33,93.5,1,0.5,0.5,2.2,2.8,15,112,30,30,8,0.2,0.22,0.08,0.06
