id,Nazwa produktu,wartosc energetyczna kcal,woda g,bialko ogolem g,bialko zwierzece g,bialko roslinne g,tluszcz g,weglowodany g ,sod mg,potas mg,wapn mg,fosfor mg,magnez mg,zelazo mg,cynk mg,miedz mg,mangan mg
217,Szczupak swiezy,82,79.8,18.4,18.4,0,0.8,0,63,304,20,215,27,0.6,0.66,0.06,0.04
218,sledz swiezy,161,70.9,16.3,16.3,0,10.7,0,89,239,32,219,24,0.9,1.12,0.23,0.02
219,sledz solony,217,48.8,19.8,19.8,0,15.4,0,5930,240,62,341,39,1.1,0.95,0.17,0.02
220,Tunczyk swiezy,137,70.6,23.7,23.7,0,4.6,0,43,356,10,200,33,1,0.7,0.15,0.02
221,Wegorz swiezy,278,59.6,15,15,0,24.5,0,65,217,17,223,21,0.6,1.75,0.09,0.03
222,Dorsz wedzony,94,75.4,22.1,22.1,0,0.5,0,1170,300,20,262,15,1,0.53,0.06,0.02
223,losos wedzony,162,63.1,21.5,21.5,0,8.4,0,1470,330,15,250,30,0.5,0.43,0.09,0.04
224,Makrela wedzona,221,61.8,20.7,20.7,0,15.5,0,1170,275,5,240,30,1.2,0.39,0.16,0.04
225,Pikling,215,60.6,21.8,21.8,0,14.3,0,1170,285,32,254,33,1.4,1.68,0.33,0.04
226,Wegorz wedzony,326,51.3,17.9,17.9,0,28.6,0,500,243,19,250,18,0.7,0.47,0.12,0.03
227,Paprykarz Szczecinski,178,67,9.9,8.6,1.3,11.9,8.6,595,327,15,147,27,0.7,0.51,0.07,0.14
228,Pasztet z ryb wedzonych,151,72.2,12.9,12.7,0.2,10.6,1.2,669,209,43,184,24,1.1,1.09,0.17,0.07
229,Pasztet rybny homogenizowany,265,56.4,10.6,9.5,1.1,21.3,8.8,658,226,28,145,24,0.9,0.88,0.16,0.1
230,Salatka z dorsza,187,66.2,9.8,8.8,1,13.9,7.2,684,370,19,153,29,0.7,0.46,0.07,0.09
231,Salatka pikantna z makreli,181,67,10.2,8.9,1.3,13.2,6.9,621,425,25,141,31,0.9,0.46,0.12,0.12
232,Sardynka w oleju,221,58.4,24.1,24.1,0,13.9,0,366,388,330,430,46,2.7,2.2,0.11,0.09
233,Sardynka w pomidorach,162,69.6,17,17,0,9.9,1.4,350,410,250,420,39,2.9,2.4,0.16,0.11
234,sledz marynowany,192,64.9,16.5,16.5,0,12.6,3.4,1090,74,18,149,12,0.7,0.53,0.12,0.02
235,sledz w oleju,301,53.8,16.4,16.4,0,26.5,0,562,241,33,221,28,0.9,1.13,0.24,0.02
236,sledz w sosie pomidorowym,159,68.7,13.8,13.2,0.6,9.7,4.6,548,288,32,186,28,0.9,1.01,0.2,0.05
237,Tunczyk w oleju,190,61.6,27.1,27.1,0,9,0,515,248,12,294,33,1.2,0.61,0.23,0.05
238,Tunczyk w wodzie,96,75.8,21,21,0,1.2,0,515,182,13,170,43,1.4,0.88,0.04,0.02
239,sledz w smietanie,96,82.1,5.5,5.1,0.4,6.2,5.3,37,145,46,84,12,0.5,0.46,0.09,0.05
240,sledzie zawijane (rolmopsy),104,80.4,8,7.5,0.5,7,3,231,161,25,113,22,0.6,0.68,0.13,0.07
241,Olej krokoszowy,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
242,Olej kukurydziany,884,0,0,0,0,100,0,1,1,15,0,0,0.1,0,0,0
243,Olej palmowy,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
244,Olej rzepakowy o obnizonej zawartosci kwasu erukowego,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0.04,0
245,Olej rzepakowy uniwersalny,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0.04,0
246,Olej rzepakowy tloczony na zimno,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
247,Olej rzepakowo-sojowy,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
248,Olej sezamowy,884,0,0,0,0,100,0,2,20,10,0,0,0.1,0,0,0
249,Olej slonecznikowy,884,0,0,0,0,100,0,0,0,0,0,0,0.1,0,0.02,0
250,Olej sojowy,884,0,0,0,0,100,0,0,0,0,0,0,0,0.01,0,0
251,Olej z zarodkow pszennych,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
252,Oliwa z oliwek,882,0.2,0,0,0,99.6,0.2,1,0,0,1,0,0.4,0.06,0.07,0
253,Planta,884,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
254,Margaryna Bona,442,49.8,0,0,0,50,0,119,0,0,0,0,0,0,0.01,0
255,Margaryna Flora,531,39.8,0,0,0,60,0,119,0,0,0,0,0.1,0,0.02,0
256,Margaryna Kama,398,54.8,0,0,0,45,0,119,0,0,0,0,0,0,0.01,0
257,Margaryna Mini Light,442,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0
258,Margaryna mleczna,710,19.1,0.3,0.3,0,80,0.4,119,10,9,6,1,0.1,0.02,0.01,0.01
259,Margaryna Palma,710,19.1,0.3,0.3,0,80,0.4,119,10,9,6,1,0.1,0.02,0.01,0.01
260,Margaryna Rama,621,29.4,0.1,0.1,0,70,0.4,122,10,5,3,0,0,0,0,0
261,Margaryna sloneczna,710,19.1,0.3,0.3,0,80,0.4,119,7,5,4,1,0.1,0.02,0,0
262,Margaryna sniadaniowa,534,39.2,0.3,0.3,0,60,0.5,3,9,8,6,1,0,0.02,0,0
263,Margaryna Tina,398,55,0,0,0,45,0,0,0,0,0,0,0,0,0,0
264,Margaryna zwykla,710,19.1,0.3,0.3,0,80,0.4,122,10,9,6,1,0.1,0.02,0.01,0.01
265,Maslo roslinne kubkowe,666,24.1,0.3,0.3,0,75,0.4,122,10,8,5,1,0.1,0.02,0.01,0.01
266,"Maslo roslinne, kostka",710,19.1,0.3,0.3,0,80,0.4,122,10,9,6,1,0.1,0.02,0,0
267,Maslo roslinne Nova,442,49.9,0,0,0,50,0,119,0,0,0,0,0,0,0,0
268,Maslo extra,735,16,0.7,0.7,0,82.5,0.7,9,25,16,12,1,0.1,0.08,0.01,0
269,Maslo smietankowe,659,24,1.1,1.1,0,73.5,1.1,6,15,12,12,1,0.1,0.07,0.01,0
270,Slonina,797,8.5,2.4,2.4,0,89,0,23,27,1,24,2,0.3,0.06,0.01,0
271,Smalec,880,0.5,0,0,0,99.5,0,1,1,0,1,0,0.1,0.04,0,0
272,"Finea Mix, niskotluszczowa",533,39.1,0.3,0.3,0,60,0.3,326,4,11,10,2,0.1,0.06,0.01,0.01
273,Maselko zakopianskie,573,34,0.9,0.9,0,64,0.9,5,13,10,10,1,0.1,0.06,0.01,0
274,Mlemix zambrowski,573,34,0.9,0.9,0,64,0.9,5,12,10,10,1,0.1,0.06,0.01,0
275,"Maka pszenna, typ 500",342,14.5,9.2,0,9.2,1.2,74.9,2,110,18,67,10,1.1,0.56,0.08,0.25
276,"Maka pszenna, typ 500, wzbogacona",342,14.5,9.2,0,9.2,1.2,74.9,2,110,68,67,10,1.1,0.56,0.08,0.25
277,"Maka pszenna, typ 550",343,14.5,9.4,0,9.4,1.6,74.1,2,136,19,92,19,1.3,0.91,0.12,0.4
278,"Maka pszenna, typ 750",330,14.5,9.1,0,9.1,1.8,73.8,3,165,20,122,31,1.6,1.36,0.15,0.62
279,"Maka pszenna, typ 1850",322,14.5,11.3,0,11.3,2.3,70.6,3,340,34,295,98,3.5,3.05,0.33,2.4
280,"Maka pszenna, typ 2000",317,14.5,11.1,0,11.1,2.4,70.5,4,340,37,330,120,3.8,3.49,0.37,2.65
281,"Maka zytnia, typ 580",327,14.5,5.5,0,5.5,1.5,78.1,2,155,19,91,21,1.1,1.04,0.09,0.7
282,"Maka zytnia, typ 720",327,14.5,5.9,0,5.9,1.7,77.4,2,190,21,113,29,1.4,1.5,0.17,1.24
283,"Maka zytnia, typ 1400",325,14.5,7,0,7,2.2,75.4,2,313,32,224,63,2.5,3.1,0.25,3.56
284,"Maka zytnia, typ 1850",321,14.5,7.3,0,7.3,2.2,75,3,361,33,258,76,3.1,3.7,0.33,4.12
285,"Maka zytnia, typ 2000",319,14.5,7.9,0,7.9,2.2,74.2,3,420,37,302,89,3.4,3.84,0.35,4.24
286,Semolina,346,13.2,10.1,0,10.1,1.3,75,1,170,18,110,32,1,0.6,0.15,0.6
287,Skrobia kukurydziana,353,11.2,0.2,0,0.2,0,88.5,2,7,11,14,3,0.2,0.07,0.01,0.01
288,Ziarno pszenicy,317,14.5,11.1,0,11.1,2.4,70.5,4,340,37,330,120,3.8,3.49,0.37,2.65
289,Ziarno zyta,319,14.5,7.9,0,7.9,2.2,74.2,3,420,37,302,89,3.4,3.84,0.35,4.24
290,Kasza gryczana,336,13,12.6,0,12.6,3.1,69.3,5,443,25,459,218,2.8,3.5,0.41,2.04
291,Kasza jaglana,346,14,10.5,0,10.5,2.9,71.6,5,220,10,240,100,4.8,3.4,0.78,1.61
292,Kasza jeczmienna perlowa,327,15,6.9,0,6.9,2.2,75,4,264,20,206,45,1.6,0.92,0.18,0.75
293,"Kasza jeczmienna, peczak",334,13.6,8.4,0,8.4,2,74.9,5,228,20,181,45,1.9,0.92,0.18,0.75
294,Kasza manna,348,13,8.7,0,8.7,1.3,76.7,3,116,17,93,18,0.9,0.85,0.1,0.36
295,Ryz bialy,344,13,6.7,0,6.7,0.7,78.9,6,111,10,135,13,0.8,1.73,0.17,1.01
296,Ryz brazowy,322,13,7.1,0,7.1,1.9,76.8,10,260,32,250,110,1.3,1.5,0.18,2.4
297,Makaron bezjajeczny,363,9.5,10,0,10,1.6,78.5,2,149,20,100,22,1.3,0.91,0.13,0.46
298,Makaron bezjajeczny z semoliny,366,8.1,10.7,0,10.7,1.4,79.4,1,180,19,116,34,1.1,0.64,0.16,0.64
299,Makaron dwujajeczny,373,8,11.5,1.4,10.1,2.6,77.4,17,173,24,127,21,1.6,1.15,0.13,0.43
300,Makaron czterojajeczny,377,7.8,12,2.3,9.7,3.4,76.2,28,187,29,145,29,1.7,1.17,0.16,0.53
301,Makaron dwujajeczny z semoliny,374,7.4,11.9,1.4,10.5,2.4,77.8,16,191,24,136,34,1.3,0.81,0.16,0.63
302,Chleb zytni pelnoziarnisty,237,35.4,6.7,1.1,5.6,1.8,53.9,454,356,66,245,71,2.5,2.86,0.26,3.01
303,Chleb zytni jasny,241,36.1,4,0,4,1.3,57.1,455,115,14,68,19,0.8,0.77,0.07,0.52
304,Chleb zytni jasny mleczny,253,33.5,4.8,0.8,4,1.8,58.3,467,145,41,86,21,0.8,0.83,0.07,0.52
305,Chleb zytni pytlowy,239,36.3,4.4,0,4.4,1.5,56.2,449,147,16,92,28,1.1,1.15,0.13,0.97
306,Chleb zytni razowy,223,39.2,5.6,0,5.6,1.7,51.5,457,279,25,204,64,2.3,2.54,0.24,2.74
307,Chleb zytni razowy litewski,233,37.2,6.3,1.1,5.2,1.7,52.9,358,314,61,215,61,2.2,2.49,0.23,2.55
308,Chleb zytni razowy na miodzie,234,37.2,5.3,0,5.3,1.6,54.2,347,260,24,187,57,2.1,2.37,0.22,2.55
309,Chleb zytni razowy wytrawny,227,38.2,6.7,1.4,5.3,1.7,51.1,507,334,71,227,65,2.3,2.57,0.23,2.6
310,Chleb zytni razowy z soja i slonecznikiem,244,35.7,7.9,0.1,7.8,3.7,50.5,391,411,41,248,78,2.8,2.61,0.35,2.72
311,Chleb zytni sitkowy,229,38.2,5.2,0,5.2,1.5,53.2,465,217,23,159,49,1.8,2.12,0.18,2.36
312,Chleb zytni starogardzki,223,41,4.2,0.1,4.1,1.3,52.1,409,128,15,78,24,1,1.01,0.12,0.78
313,Chleb staropolski,219,41,5,0,5,1.7,50.5,447,232,22,166,52,2,2.34,0.21,2.54
314,Chleb zytni wilenski,225,40.4,4.4,0,4.4,1.5,52.3,353,179,19,124,37,1.4,1.7,0.15,1.86
315,Pumpernikiel,252,32,5.8,0,5.8,2,58.3,395,310,28,222,68,2.5,2.83,0.26,3.13
316,Chleb baltonowski,246,35.1,5.9,0.1,5.8,1.5,55.9,434,136,16,91,26,1.2,1.08,0.12,0.65
317,Chleb chrupki,353,8,8.7,0,8.7,2.4,78.9,272,448,42,331,100,4,4.1,0.37,4.53
318,Chleb mazowiecki,248,34.4,6.3,0.1,6.2,1.4,56.3,394,140,16,98,29,1.3,1.12,0.12,0.66
319,Chleb mieszany slonecznikowy,246,38.1,6.4,0.1,6.3,4.5,49.2,387,233,28,182,63,1.8,1.92,0.27,2.03
320,Chleb mieszany z soja,232,39,6.8,0.1,6.7,2.7,49.6,386,303,33,167,50,2,1.83,0.23,1.86
321,Chleb mleczny,251,33.8,6.6,0.9,5.7,1.5,56.4,397,175,46,112,29,1.2,1.16,0.12,0.65
322,Chleb naleczowski,244,35.3,5.7,0.1,5.6,1.3,56.2,389,142,16,96,28,1.2,1.13,0.13,0.75
323,Chleb poleski,249,34.6,6.3,0.1,6.2,2.1,55.3,391,199,22,155,46,1.7,1.81,0.18,1.84
324,Chleb praski,244,35.3,5.7,0.1,5.6,1.3,56.2,389,142,16,96,28,1.2,1.13,0.13,0.75
325,Chleb wiejski,241,36.3,5.8,0.1,5.7,1.3,55.1,371,136,17,96,28,1.2,1.08,0.12,0.69
326,Chleb wielkopolski,250,33.5,6,0.1,5.9,1.5,57.3,431,162,17,113,33,1.3,1.42,0.14,1.12
327,Chleb zakopianski,261,31.7,6.8,1.1,5.7,1.9,57.9,404,185,52,122,32,1.3,1.23,0.13,0.76
328,Chleb zwykly,245,34.8,5.4,0.1,5.3,1.3,57,391,148,17,98,29,1.2,1.17,0.13,0.84
329,Bagietki francuskie,283,28.1,7.9,0.3,7.6,1.7,60.1,708,124,17,81,22,1.2,0.8,0.1,0.35
330,Bulki grahamki,258,31.1,8.2,0.1,8.1,1.7,56.9,474,228,24,191,65,2.3,2,0.22,1.48
331,Bulki pszenne zwykle,272,31.4,7.3,0.1,7.2,1.5,58.5,377,112,15,74,18,1.1,0.74,0.1,0.33
332,Bulka tarta,347,10,9.7,0.1,9.6,1.9,77.6,503,202,27,165,42,2.2,1.62,0.19,1.06
333,Chleb Graham,226,39.4,7.6,0.1,7.5,1.7,49.4,432,215,22,182,62,2.2,1.9,0.21,1.42
334,Chleb pszenny,249,34,6.8,0.1,6.7,1.4,56,454,137,16,100,30,1.3,1.1,0.12,0.57
335,Chleb pszenny z ziarnem pszenicy,228,38.5,7.7,0.2,7.5,1.8,50,411,224,23,197,69,2.4,2.07,0.22,1.52
336,Buleczki do hot dogow,339,21.6,8.7,1.7,7,7.5,60.6,433,154,40,105,22,1.3,0.93,0.1,0.33
337,Bulki mleczne,313,24.4,8.3,0.9,7.4,4.5,61.2,433,149,40,96,22,1.2,0.86,0.1,0.36
338,Bulki owsiane,304,26,8.7,1.1,7.6,4.5,59.1,417,198,53,153,39,1.5,1.2,0.17,0.93
339,Bulki sojowe,328,19.8,9.7,0.8,8.9,4.2,64.6,429,225,47,119,31,1.5,1,0.15,0.47
340,Bulki wroclawskie,293,29.7,7.2,0.2,7,4.4,57.4,400,111,15,73,18,1.1,0.73,0.09,0.32
341,Kajzerki,295,28,7.5,0.2,7.3,3.6,59.4,464,116,16,77,19,1.1,0.77,0.1,0.34
342,Pieczywo tostowe,305,26.6,8.1,1.2,6.9,4.7,58.8,488,161,47,100,23,1.2,0.86,0.1,0.34
343,Strucle wroclawskie,302,28,8.1,1.6,6.5,4.8,57.6,387,158,56,102,22,1.1,0.83,0.1,0.31
344,Pieczywo tostowe Graham,273,32.7,7.5,0.2,7.3,4.2,53.8,543,152,18,113,35,1.5,1.11,0.13,0.76
345,Bulki i rogale maslane,326,23.2,7.7,1,6.7,5.9,61.8,396,133,33,88,20,1.1,0.8,0.1,0.33
346,Chalki zdobne,332,23.4,7,0.5,6.5,7,61.6,278,113,15,74,17,1.1,0.74,0.09,0.31
347,Pieczywo polfrancuskie z dzemem,409,7.5,7.6,1.2,6.4,9.9,73.7,285,203,47,94,22,1.5,0.81,0.13,0.34
348,Pieczywo polfrancuskie z serem,394,11.5,9.9,3.6,6.3,10,67.3,290,149,51,120,20,1.1,0.93,0.1,0.31
349,Rogale kruche,338,22.1,7.6,0.7,6.9,7.5,61.4,406,128,25,85,20,1.1,0.8,0.1,0.33
350,Chrupki kukurydziane,352,8.3,8.9,0,8.9,3,78.9,12,206,3,223,65,1.8,0.93,0.08,0.26
351,Musli z owocami suszonymi,325,14.1,8.4,0,8.4,3.4,72.2,101,564,49,260,93,3.1,2.17,0.4,2.27
352,Musli z rodzynkami i orzechami,375,10.8,11.5,0,11.5,12.7,62.9,122,443,71,381,136,3.9,3.01,0.55,3.29
353,Otreby pszenne,185,11.5,16,0,16,4.6,61.9,9,1121,119,1276,490,14.9,8.85,0.95,10
354,Platki jeczmienne,355,4.8,9.8,0,9.8,3.6,79.4,651,388,31,332,90,3.6,2,0.25,0.96
355,Platki kukurydziane,363,4.4,6.9,0,6.9,2.5,83.6,1167,100,8,40,6,0.8,0.16,0.05,0.07
356,Platki kukurydziane wzbogacane,363,4.4,6.9,0,6.9,2.5,83.6,1167,100,8,40,6,14,0.16,0.05,0.07
357,Platki owsiane,366,10,11.9,0,11.9,7.2,69.3,5,379,54,433,129,3.9,3.1,0.55,4.19
358,Platki pszenne,351,4.7,9,0,9,3,81,644,360,31,317,97,3.4,2.46,0.36,1.72
359,Platki zytnie,343,5.4,6.4,0,6.4,3.2,82.6,662,422,28,302,88,2.7,2.51,0.3,2.73
360,Ryz preparowany,361,7.7,6.3,0,6.3,1.6,84.1,3,113,6,98,52,0.6,1.1,0.33,1
361,Zarodki pszenne,323,13.2,27.5,0,27.5,9.4,45.5,3,1024,51,1070,314,9,14.96,0.91,17.24
362,Paszteciki drozdzowe z miesem,308,43,8.4,4.4,4,18.4,28.8,507,188,32,119,18,1.3,1.01,0.12,0.21
363,Pizza miesno-ziolowa,327,30.5,16.5,11.3,5.2,13.4,36.8,710,346,315,266,38,2.3,1.68,0.14,0.32
364,Pizza z pieczarkami i cebula,289,40.5,12,7.3,4.7,13.3,32.1,376,309,276,226,32,2,1.2,0.19,0.28
365,Baklazan,21,91.9,1.1,0,1.1,0.1,6.3,2,305,18,33,16,0.6,0.2,0.01,0.1
366,Bocwina,17,89.8,2.1,0,2.1,0.5,5.5,56,548,97,36,43,2.2,1,0.18,0.26
367,Bob,66,77.3,7.1,0,7.1,0.4,14,7,261,60,57,24,1.9,1.62,0.1,0.39
368,Brokuly,27,90.5,3,0,3,0.4,5.2,7,385,48,66,23,0.9,0.4,0.03,0.53
369,Brukselka,37,84.8,4.7,0,4.7,0.5,8.7,10,416,57,33,21,0.9,0.86,0.07,0.45
370,Burak,38,87.6,1.8,0,1.8,0.1,9.5,52,348,41,17,17,1.7,0.57,0.1,0.44
371,Cebula,30,90.8,1.4,0,1.4,0.4,6.9,6,121,25,14,8,0.5,0.24,0.06,0.17
372,Chrzan,67,75,4.5,0,4.5,0.6,18.1,7,740,78,120,43,1.2,1.4,0.23,0.46
373,Cukinia,15,95,1.2,0,1.2,0.1,3.2,3,250,15,32,22,0.4,0.3,0.08,0.16
374,Cykoria,21,93.1,1.7,0,1.7,0.2,4.1,6,237,32,32,15,0.9,0.23,0.17,0.37
375,Czosnek,146,59,6.4,0,6.4,0.5,32.6,17,400,41,153,25,1.7,1,0.26,0.46
376,Dynia,28,89.9,1.3,0,1.3,0.3,7.7,4,278,66,43,14,0.8,0.38,0.15,0.04
377,"Fasola biala, nasiona suche",288,11.5,21.4,0,21.4,1.6,61.6,19,1188,163,437,169,6.9,3.77,0.48,2
378,"Fasola mung, kielki",29,90,3,0,3,0.4,6.2,2,132,13,45,17,0.7,0.47,0.1,0.12
379,Fasola szparagowa,27,89.1,2.4,0,2.4,0.2,7.6,6,264,65,44,22,1.1,0.61,0.1,0.22
380,"Groch, nasiona suche",293,11.6,23.8,0,23.8,1.4,60.2,30,937,57,388,124,4.7,4.2,0.5,2.03
381,Groszek zielony,76,75,6.7,0,6.7,0.4,17,2,353,22,122,29,1.9,1.4,0.3,0.63
382,Jarmuz,29,88.4,3.3,0,3.3,0.7,6.1,12,530,157,56,30,1.7,0.44,0.09,0.55
383,Kalafior,22,91.5,2.4,0,2.4,0.2,5,26,214,13,28,11,0.6,0.23,0.04,0.23
384,Kalarepa,29,89.9,2.2,0,2.2,0.3,6.5,8,304,42,46,10,0.9,0.26,0.16,0.15
385,Kapusta biala,29,89.8,1.7,0,1.7,0.2,7.4,19,228,67,33,13,0.3,0.32,0.03,0.23
386,Kapusta czerwona,27,90.3,1.9,0,1.9,0.2,6.7,11,269,46,31,12,0.5,0.43,0.09,0.24
387,Kapusta pekinska,12,94.4,1.2,0,1.2,0.2,3.2,9,150,45,37,15,0.3,0.28,0.04,0.15
388,Kapusta wloska,38,87.3,3.3,0,3.3,0.4,7.8,9,306,77,49,16,0.4,0.27,0.09,0.31
389,Koper ogrodowy,26,89,2.8,0,2.8,0.4,6.1,7,396,64,51,14,2.7,2.6,0.12,0.5
390,"Kukurydza, kolby",110,70.9,3.7,0,3.7,1.5,23.4,7,283,6,102,37,0.8,0.4,0.04,0.2
391,Marchew,27,89.7,1,0,1,0.2,8.7,82,282,36,32,16,0.5,0.34,0.1,0.19
392,Ogorek,13,95.8,0.7,0,0.7,0.1,2.9,11,125,15,23,8,0.2,0.24,0.11,0.08
393,Papryka czerwona,28,91,1.3,0,1.3,0.5,6.6,3,255,13,31,11,0.6,0.26,0.08,0.1
394,Papryka zielona,18,93.5,1.1,0,1.1,0.3,4.6,2,176,12,23,9,0.5,0.24,0.08,0.1
395,Pasternak,56,81,1.6,0,1.6,0.6,15.5,3,490,41,73,25,0.7,0.51,0.14,0.4
396,"Pietruszka, korzen",38,85.3,2.6,0,2.6,0.5,10.5,49,399,43,77,27,1.1,0.6,0.14,0.58
397,"Pietruszka, liscie",41,84.5,4.4,0,4.4,0.4,9,39,695,193,84,69,5,0.98,0.61,0.42
398,Pomidor,15,94.8,0.9,0,0.9,0.2,3.6,8,282,9,21,8,0.5,0.26,0.06,0.06
399,Por,24,90.9,2.2,0,2.2,0.3,5.7,6,248,48,52,11,1.1,0.69,0.13,0.18
400,Rabarbar,9,94.1,0.5,0,0.5,0.1,4.6,2,136,52,24,13,0.6,0.13,0.05,0.16
401,Rzepa,26,89.7,1.1,0,1.1,0.3,8.2,17,280,40,34,10,0.5,0.14,0.1,0.07
402,Rzodkiewka,14,93.8,1,0,1,0.2,4.4,11,236,29,19,7,0.8,0.26,0.04,0.09
403,Salata,14,94.5,1.4,0,1.4,0.2,2.9,4,134,24,21,9,0.7,0.44,0.04,0.28
404,Seler korzeniowy,21,89.5,1.6,0,1.6,0.3,7.7,86,320,40,80,19,0.5,0.56,0.05,0.2
405,Seler naciowy,13,94.3,1,0,1,0.2,3.6,62,320,41,26,12,0.4,0.17,0.04,0.14
406,"Soczewica czerwona, nasiona suche",327,11.9,25.4,0,25.4,3,57.5,2,874,46,301,71,5.8,3.34,0.85,1.35
407,"Soczewica, kielki",120,67.3,9,0,9,0.6,22.1,9,292,29,156,43,2.9,1.52,0.36,0.51
408,"Soja, nasiona suche",382,8.1,34.3,0,34.3,19.6,32.7,1,2132,240,743,216,8.9,3.46,1.5,2.49
409,"Soja, kielki",141,69,13.1,0,13.1,6.7,9.6,14,484,67,164,72,2.1,1.2,0.23,0.17
410,Szczaw,21,92.1,1.1,0,1.1,0.8,4.9,14,333,80,23,19,2,0.8,0.07,0.34
411,Szczypiorek,29,90.3,4.1,0,4.1,0.8,3.9,2,252,97,52,26,1.3,0.51,0.07,0.53
412,Szparagi,18,93.7,1.9,0,1.9,0.2,3.7,2,300,22,52,18,0.7,0.9,0.08,0.2
413,Szpinak,16,92.4,2.6,0,2.6,0.4,3,26,235,93,29,53,2.8,0.7,0.1,0.26
414,Ziemniaki wczesne,69,80.9,1.8,0,1.8,0.1,16.3,7,415,4,52,24,0.5,0.33,0.09,0.18
415,Ziemniaki pozne,85,76.5,1.9,0,1.9,0.1,20.5,7,491,4,61,23,0.6,0.35,0.14,0.18
416,"Ziemniaki, srednio",77,78.8,1.9,0,1.9,0.1,18.3,7,443,4,56,23,0.5,0.33,0.1,0.18
417,Brokuly mrozone,24,91.4,2.7,0,2.7,0.4,4.7,6,312,39,53,19,0.7,0.32,0.02,0.43
418,Brukselka mrozona,36,85.4,4.5,0,4.5,0.5,8.4,9,359,49,29,18,0.8,0.74,0.06,0.39
419,Buraki puree mrozone,34,88.8,1.6,0,1.6,0.1,8.6,42,282,33,14,14,1.4,0.46,0.08,0.36
420,Fasolka szparagowa mrozona,24,90.2,2.2,0,2.2,0.2,6.8,5,214,53,36,18,0.9,0.49,0.08,0.18
421,Groszek zielony mrozony,72,76,6.4,0,6.4,0.4,16.3,2,305,19,105,25,1.6,1.21,0.26,0.54
422,Kalafior mrozony,20,92.3,2.2,0,2.2,0.2,4.5,21,173,11,23,9,0.5,0.19,0.03,0.19
423,Marchew mrozona,24,90.7,0.9,0,0.9,0.2,7.8,66,228,29,26,13,0.4,0.28,0.08,0.15
424,"Ogorki, mizeria mrozone",12,96.2,0.6,0,0.6,0.1,2.6,9,101,12,19,6,0.2,0.19,0.09,0.06
425,Pomidor mrozony,15,94.8,0.9,0,0.9,0.2,3.6,8,282,9,21,8,0.5,0.26,0.06,0.06
426,Szpinak mrozony,15,93.2,2.3,0,2.3,0.4,2.7,21,190,75,23,43,2.3,0.57,0.08,0.21
427,Barszcz ukrainski mrozony,28,90.3,1.6,0,1.6,0.2,7.1,30,256,34,25,13,0.9,0.37,0.07,0.24
428,Bukiet z jarzyn wiosennych mrozony,30,88.6,2.8,0,2.8,0.3,7.5,19,235,33,36,15,0.8,0.48,0.08,0.25
429,Bukiet z jarzyn z makaronem mrozony,132,65,5.3,0.3,5,1.2,27.8,23,244,29,83,36,1.4,0.93,0.15,0.49
430,Bukiet z jarzyn z ryzem mrozony,66,81.1,2.4,0,2.4,0.3,15.6,16,261,16,54,15,0.7,0.59,0.11,0.28
431,Kapusniak mrozony,36,88.7,1.4,0,1.4,0.2,9,21,253,30,32,14,0.4,0.3,0.06,0.18
432,Marchew z groszkiem mrozona,39,86.1,2.6,0,2.6,0.3,10.4,47,251,26,50,17,0.8,0.56,0.13,0.27
433,Paprykarz mrozony,19,93.7,1.1,0,1.1,0.3,4.4,5,265,14,27,13,0.5,0.28,0.07,0.1
434,Salatka jarzynowa z kukurydza mrozona,63,80.6,3.4,0,3.4,0.6,14.8,29,256,19,68,25,1,0.64,0.14,0.31
435,Salatka meksykanska mrozona,45,85.6,2.5,0,2.5,0.5,10.8,23,243,24,53,18,0.7,0.47,0.09,0.21
436,Salata skandynawska mrozona,28,90.2,1.9,0,1.9,0.2,6.9,36,315,38,35,17,1,0.41,0.07,0.39
437,Wloszczyzna krojona w paski mrozona,25,89.7,1.4,0,1.4,0.3,7.9,58,261,32,46,16,0.6,0.4,0.08,0.23
438,Zupa jesienna mrozona,27,90.2,1.6,0,1.6,0.2,7.2,36,241,30,27,12,0.8,0.34,0.09,0.22
439,Zupa kalafiorowa mrozona,22,91.5,2,0,2,0.2,5.5,30,197,18,29,11,0.5,0.26,0.05,0.2
440,Zupa wloska mrozona,27,90.4,1.8,0,1.8,0.3,6.9,32,239,20,35,12,0.6,0.37,0.08,0.19
441,Zupa ziemniaczana mrozona,41,86.6,1.5,0,1.5,0.2,11,37,293,22,45,18,0.6,0.38,0.09,0.2
442,Zupa zimowa mrozona,25,90,2.1,0,2.1,0.3,6.9,34,236,34,31,15,0.7,0.44,0.08,0.22
443,"Fasola cieta, konserwowa bez zalewy",16,92.8,1.5,0,1.5,0.2,4.5,256,124,43,22,12,1.3,0.29,0.07,0.18
444,"Fasolka flageolet, konserwowa",61,77.2,6.3,0,6.3,0.2,15,291,299,56,125,36,1.9,0.62,0.18,0.36
